# Impressão por Grupo - Sumário
"# Da data = 11/nov/2022 15:45:00, Até a data = 12/dez/2022 11:19:59"
Grupo;Páginas coloridas;Páginas Escala de Cinza;Paginas Duplex;Paginas Simplex;Total Páginas impressas;Total Trab.;Custo Total;Média de Páginas;Custo Médio
[Todos Usuários];83;13937;3186;10834;14020;4406;"0,00";"3,2";"0,00"
10000;2;1663;4;1661;1665;242;"0,00";"6,9";"0,00"
11000;0;786;270;516;786;102;"0,00";"7,7";"0,00"
12000;0;748;244;504;748;348;"0,00";"2,1";"0,00"
13000;0;2460;212;2248;2460;1112;"0,00";"2,2";"0,00"
14000;12;1392;400;1004;1404;371;"0,00";"3,8";"0,00"
15000;0;253;28;225;253;93;"0,00";"2,7";"0,00"
16000;69;5298;1822;3545;5367;1537;"0,00";"3,5";"0,00"
17000;0;499;92;407;499;343;"0,00";"1,5";"0,00"
18000;0;265;10;255;265;80;"0,00";"3,3";"0,00"
19000;0;28;0;28;28;25;"0,00";"1,1";"0,00"
